Type,Bed Room,Bath Room,Floor,city,Area_ft_square,price_million
Condo,3.0,2.0,2.0,Tamwe,1250.0,480.0
Condo,1.0,1.0,7.0,Thaketa,972.0,258.0
House,4.0,4.0,2.5,Dagon Myothit (North),2400.0,2750.0
Apartment,2.0,2.0,3.0,Okkalappa South,1026.0,282.0
Apartment,2.0,1.0,1.0,Okkalappa South,972.0,270.0
House,7.0,3.0,3.0,Dagon Myothit (North),1200.0,795.0
Apartment,4.0,2.0,1.0,Dagon Myothit (South),1000.0,430.0
House,2.0,1.0,1.0,Dagon Myothit (North),1200.0,520.0
Apartment,2.0,1.0,5.0,Okkalappa South,972.0,237.0
Condo,4.0,4.0,1.0,Hlaing,1834.0,880.0
Apartment,1.0,1.0,4.0,Tamwe,900.0,128.0
Condo,2.0,2.0,5.0,Okkalappa South,918.0,425.0
Condo,1.0,1.0,4.0,Thingangkuun,771.0,248.0
Condo,2.0,2.0,7.0,Thingangkuun,1530.05,400.0
Condo,3.0,3.0,10.0,Hlaing,1825.0,980.0
Condo,3.0,2.0,5.0,Thingangkuun,1650.0,350.0
Apartment,1.0,1.0,1.0,Dawbon,625.0,145.0
Condo,3.0,3.0,5.0,Dagon,1700.0,630.0
Apartment,3.0,1.0,0.5,Thaketa,825.0,520.0
Condo,2.0,2.0,1.0,Sanchaung,1056.0,730.0
Condo,3.0,3.0,1.0,Hlaing,1505.0,990.0
Apartment,2.0,1.0,1.0,Ahlon,900.0,335.0
Condo,3.0,3.0,1.0,Tamwe,1950.0,1350.0
House,4.0,2.0,2.5,Dagon Myothit (North),1200.0,700.0
Condo,3.0,2.0,1.0,Bahan,1100.0,720.0
Apartment,1.0,1.0,3.0,Thingangkuun,715.0,110.0
Apartment,2.0,1.0,1.0,Okkalappa South,972.0,365.0
Apartment,1.0,1.0,1.0,Hlaing,625.0,150.0
Condo,3.0,4.0,1.0,Mingalartaungnyunt,2170.0,2387.0
Apartment,3.0,2.0,0.5,Kyeemyindaing,625.0,370.0
Apartment,2.0,1.0,2.0,Yankin,1080.0,330.0
Apartment,2.0,2.0,6.0,Dagon Myothit (South),838.0,155.0
Apartment,1.0,1.0,2.0,Thaketa,972.0,186.0
House,2.0,3.0,5.0,Tamwe,5000.0,6500.0
House,2.0,1.0,2.0,Dagon Myothit (East),1800.0,2000.0
House,6.0,7.0,2.0,Bahan,2800.0,8500.0
Condo,2.0,2.0,1.0,Thingangkuun,1037.0,440.0
Apartment,2.0,1.0,5.0,Thaketa,1026.0,128.5
Apartment,2.0,2.0,1.0,Yankin,1100.0,750.0
House,4.0,3.0,8.0,Hlaing,1835.0,880.0
House,5.0,6.0,3.0,Dagon Myothit (North),1260.0,1290.0
Condo,2.0,2.0,1.0,Hlaing,983.0,499.9
Condo,3.0,3.0,3.0,Kamaryut,1600.0,850.0
Apartment,2.0,1.0,1.0,Lanmadaw,800.0,550.0
Condo,1.0,1.0,7.0,Okkalappa South,900.0,230.0
Condo,2.0,2.0,7.0,Tamwe,1444.0,450.0
Condo,1.0,1.0,6.0,Thanlyin,651.0,345.0
Condo,5.0,3.0,1.0,Mayangone,1959.0,2000.0
Condo,3.0,2.0,9.0,Sanchaung,1400.0,1100.0
Apartment,2.0,1.0,3.0,Okkalappa South,972.0,250.0
Condo,2.0,2.0,7.0,Sanchaung,1250.0,410.0
House,3.0,1.0,2.0,Thaketa,2400.0,1500.0
Apartment,1.0,1.0,4.0,Mayangone,625.0,135.0
Apartment,2.0,1.0,5.0,Thaketa,972.0,133.0
Condo,2.0,2.0,1.0,Okkalappa South,1026.0,398.0
Condo,2.0,1.0,1.0,Okkalappa South,783.0,265.0
Condo,2.0,2.0,1.0,Sanchaung,1250.0,430.0
Condo,3.0,2.0,5.0,Dagon Myothit (Seikkan),836.0,250.0
Condo,2.0,2.0,6.0,Thingangkuun,1026.0,533.0
House,3.0,2.0,2.0,Okkalappa South,1200.0,980.0
Condo,2.0,2.0,1.0,Hlaing,855.0,500.0
Condo,2.0,2.0,1.0,Sanchaung,1056.0,730.0
Condo,4.0,4.0,1.0,Hlaing,1834.0,880.0
Condo,2.0,2.0,1.0,Yankin,1168.0,950.0
Apartment,2.0,1.0,3.0,Okkalappa South,972.0,289.0
Apartment,2.0,2.0,1.0,Thingangkuun,972.0,379.0
Apartment,2.0,2.0,2.0,Okkalappa South,972.0,297.0
House,4.0,4.0,2.0,Mayangone,4500.0,5000.0
House,6.0,5.0,2.0,Hlaing,18370.0,18370.0
Condo,2.0,2.0,5.0,Okkalappa South,918.0,415.0
Condo,3.0,2.0,10.0,Bahan,1800.0,850.0
Condo,3.0,3.0,1.0,Yankin,1800.0,850.0
Condo,3.0,2.0,4.0,Yankin,1685.0,1150.0
Apartment,2.0,1.0,1.0,Thingangkuun,972.0,310.0
Condo,3.0,2.0,5.0,Kamaryut,1300.0,540.0
Apartment,2.0,1.0,4.0,Thaketa,1026.0,160.0
